Year,Lifeexpectancy(men),Lifeexpectancy(women),Infantdeaths,Alcohol,Measles,BMI,Under-fivedeaths,Polio,Totalexpenditure,Diphtheria ,HIV/AIDS,GDP,Population
2014,73,73,81,60,0.09,50,54,12943,26.5,142,8,2.85,78
2013,82,69,84,57,0.09,48,42,8419,25.6,148,86,2.93,85
2012,71,84,73,85,0.08,69,60,15489,24.7,154,84,2.9,83
2011,67,73,54,98,0.08,44,69,21893,23.8,161,81,2.71,81
2010,53,65,75,62,0.08,19,47,18869,22.9,167,82,2.74,81
2009,80,69,97,80,0.08,62,46,20818,22.1,174,85,2.83,78
2008,58,53,99,54,0.07,35,29,15369,21.3,181,83,2.81,77
2007,78,73,87,100,0.06,52,61,19456,2.5,188,77,3.1,73
2006,73,69,65,79,0.06,66,53,20422,19.7,194,78,2.91,72
2005,80,68,74,74,0.06,56,71,15853,19,201,79,2.79,72
2004,55,59,91,69,0.06,72,49,29171,18.2,237,79,2.37,71
2003,69,74,67,51,0.05,34,43,24457,17.5,215,8,2.53,71
2002,57,62,92,88,0.05,74,59,14492,16.7,222,8,2.27,7
2001,70,62,73,77,0.06,51,23,3825,16,229,77,2.23,76
2000,73,72,91,92,0.06,25,27,3344,15.4,237,72,1.98,75
2015,71,71,73,55,,51,58,615,59.7,21,98,,98
2014,52,75,84,78,0.01,73,40,99,58.5,22,99,6.89,99
2013,72,71,69,62,0.01,69,26,189,57.2,23,98,6.49,98
2012,61,82,84,96,0.01,62,31,332,56,24,99,6.98,99
2011,85,67,81,78,0.03,50,23,73,54.8,25,99,7.12,99
2010,50,59,95,73,0.03,75,60,538,53.6,26,99,8.2,99
2009,73,65,82,94,0.03,69,53,262,52.5,27,99,7.63,99
2008,74,55,60,86,0.02,24,64,127,51.4,28,99,6.28,99
2007,82,75,59,79,0.02,27,75,133,5.4,29,98,5.84,99
2006,84,78,67,97,0.02,39,29,220,49.4,30,99,5.95,98
2005,50,55,50,79,0.01,50,37,7,48.5,32,95,6.6,95
2004,63,78,75,90,0.01,31,30,3,47.6,33,98,5.89,99
2003,77,66,52,51,0.01,62,26,11644,46.9,35,99,5.42,99
2002,85,50,80,58,0.01,47,30,9554,46.2,37,99,5.39,99
2001,78,68,56,84,0.01,29,50,9582,45.5,40,95,5.2,96
2000,54,76,69,98,0.01,54,31,11874,44.9,43,99,4.47,99
2015,73,55,92,61,,72,32,1433,59.1,38,63,,58
2014,54,81,89,73,0.01,54,62,1317,58.5,39,67,5.54,64
2013,79,85,67,87,0.01,38,49,669,57.8,39,7,5.92,68
2012,79,81,54,55,0.01,21,31,15,57.2,39,7,5.26,69
2011,56,69,91,62,0.17,60,53,15,56.5,39,8,3.32,79
2010,74,74,53,79,0.19,71,26,492,55.8,39,74,3.82,74
2009,53,68,92,54,0.2,38,25,30328,55.2,39,78,4.65,78
2008,74,82,71,78,0.17,38,41,5494,54.5,38,71,3.93,69
2007,80,53,71,54,0.14,25,31,230,53.8,38,74,3.69,57
2006,73,70,57,98,0.03,21,52,474,53.2,38,63,3,59
2005,80,63,74,55,0.18,48,21,908,52.5,37,69,4.13,65
2004,82,54,51,60,0.32,49,56,9081,51.9,37,69,5.61,74
2003,81,50,81,76,0.07,68,66,0,51.3,37,73,4.36,75
2002,71,63,66,84,0.15,68,73,0,5.6,37,76,,77
2001,59,59,66,62,0.17,18,75,4088,5.1,37,8,,78
2000,78,82,67,78,0.2,66,57,726,49.5,37,83,,8
2015,56,69,63,61,,31,49,4,62.8,0,95,,95
2014,83,78,93,54,10.75,45,27,33,62.1,0,96,7.78,96
2013,65,50,90,50,10.49,26,35,51,61.3,0,96,8.1,96
2012,57,74,54,67,11.49,22,50,107,6.5,0,95,8.32,95
2011,66,75,96,55,11.72,62,25,285,59.7,0,95,8.15,95
2010,65,59,93,62,11.88,70,27,443,58.9,0,94,8.76,94
2009,76,51,55,52,11.41,71,39,164,58.2,0,94,9.53,94
2008,64,66,65,72,12.66,31,61,57,57.4,0,93,8.64,93
2007,52,62,70,50,13.59,64,48,64,56.6,0,92,7.57,92
2006,83,60,79,81,13.44,29,49,87,55.8,0,91,7.22,91
2005,54,76,85,64,13.31,26,30,95,55.1,0,9,7.27,9
2004,84,61,56,82,13.32,19,44,334,54.4,0,89,7.34,89
2003,72,81,64,96,13.24,49,48,584,53.6,0,86,7.5,86
2002,51,66,81,82,14.17,52,61,243,52.9,0,83,6.85,83
2001,62,65,95,94,14.27,40,34,241,52.2,0,84,6.6,84
2000,85,72,63,54,14.07,51,44,0,51.5,0,86,6.3,86
2015,72,74,52,98,,50,18,80,64.9,1,95,,95
2014,62,73,79,67,2.62,64,61,6,64.6,1,95,7.81,95
2013,59,72,88,69,2.69,74,33,50,64.2,1,96,7.89,96
2012,78,53,55,62,2.78,72,19,211,63.8,1,94,7.73,94
2011,78,74,60,72,2.67,64,27,70,63.4,1,94,7.39,94
2010,83,63,63,94,2.63,22,44,23,63,1,95,7.36,95
2009,60,70,62,68,2.55,43,41,5,62.6,1,96,7.46,96
2008,65,76,71,86,2.47,33,28,931,62.1,1,94,7.33,94
2007,73,52,64,63,2.33,18,51,539,61.6,1,95,7.37,95
2006,80,58,66,55,2.23,22,65,9,61.1,1,94,7.38,95
2005,80,53,94,64,2.41,66,56,2,6.6,1,95,7.44,93
2004,83,83,93,89,2.23,34,47,116,6.1,1,95,7.35,95
2003,53,82,68,53,2.32,45,39,124,59.6,1,93,7.44,93
2002,58,64,87,71,2.47,59,56,2,59.2,1,91,7.49,9
2001,76,56,52,59,2.53,30,74,19,58.7,1,93,7.61,92
2000,68,52,64,59,2.53,71,51,36,58.3,1,93,7.13,93
2015,51,59,50,98,,53,47,159,63.6,2,93,,93
2014,84,74,95,61,7.56,74,45,0,63.1,2,95,9.25,95
2013,56,53,94,65,7.35,58,20,0,62.6,2,96,9.22,96
2012,75,77,66,69,7.49,30,43,376,62.1,2,96,9.28,97
2011,78,55,85,61,6.98,19,42,5189,61.5,2,96,9.27,96
2010,83,85,51,66,6.95,48,19,372,61,2,96,9.42,96
2009,82,59,71,73,7.25,74,37,351,6.5,2,96,9.41,96
2008,83,55,99,64,7.96,46,31,1617,59.9,2,96,8.89,96
2007,75,73,76,50,8.37,22,19,321,59.4,2,97,8.48,97
2006,78,83,68,63,8.44,52,35,439,58.8,2,97,8.82,96
2005,75,68,91,71,8.65,68,19,135,58.2,2,97,8.71,95
2004,70,53,57,60,8.98,42,67,599,57.6,3,97,8.49,94
2003,68,60,54,54,9.3,55,25,10982,57,3,97,8.17,96
2002,71,62,84,76,9.25,30,27,9385,56.4,3,96,8.23,93
2001,57,82,57,90,9.69,41,62,0,55.7,3,96,8.11,93
2000,66,70,79,64,9.78,54,21,1457,55,3,97,7.91,87
2015,70,82,96,68,,30,57,0,54.2,1,91,,91
2014,64,82,90,67,3.83,70,57,0,53.5,1,93,5.36,92
2013,59,56,61,52,3.79,57,28,0,52.7,1,86,5.91,93
2012,62,57,51,54,3.65,33,26,0,52,1,96,5.66,96
2011,84,61,74,52,3.58,63,36,1,51.2,1,93,5.21,92
2010,64,70,92,57,3.55,70,18,0,5.5,1,94,5.3,94
2009,50,72,61,57,3.33,70,23,0,49.7,1,9,5.16,9
2008,62,80,60,57,3.51,63,61,2,48.9,1,91,5.4,91
2007,69,76,57,74,3.64,54,27,0,48.1,1,94,4.87,92
2006,72,55,94,89,3.63,20,63,0,47.2,1,99,4.22,95
2005,50,82,76,91,3.59,40,45,0,46.3,1,99,4.7,99
2004,72,85,51,79,3.67,63,53,0,45.4,1,97,4.8,98
2003,84,78,57,53,3.48,59,28,0,44.5,1,99,4.56,96
2002,57,56,74,92,3.76,53,44,0,43.5,1,99,4.86,99
2001,61,56,75,87,3.89,64,57,0,42.5,1,99,5.34,99
2000,83,57,90,70,3.46,68,37,0,41.6,1,95,5.81,93
2015,65,69,84,72,,58,54,35,29,3,99,,96
2014,60,84,79,87,0.01,18,46,462,28.6,3,99,1.23,96
2013,81,77,62,60,7.55,39,67,229,28.2,3,99,1.25,96
2012,80,74,67,88,7.39,65,20,228,27.8,3,99,1.17,97
2011,58,68,60,72,7.39,23,42,434,27.4,4,96,1.7,97
2010,65,60,99,92,6.9,64,43,450,26.9,4,98,9.58,97
2009,73,72,100,60,7.09,43,71,741,26.4,4,99,9.51,97
2008,53,56,71,51,7.11,58,58,11015,25.9,4,98,8.6,98
2007,80,61,56,75,7.29,22,47,0,25.4,4,97,8.25,98
2006,55,85,59,74,7.49,38,67,520,24.9,4,95,8.19,98
2005,77,62,69,65,7.99,66,46,0,24.4,4,95,8.18,98
2004,50,82,92,78,7.7,43,44,8752,23.8,4,97,8.3,99
2003,73,73,100,64,7.83,47,51,8286,23.4,5,97,8,97
2002,69,63,69,58,7.87,23,25,33812,22.9,5,89,7.85,96
2001,84,53,79,79,8.03,30,64,22552,22.5,5,81,7.75,95
2000,79,81,67,64,7.97,56,27,22497,22.2,5,98,7.53,85
2015,51,66,57,78,,36,69,0,65.6,4,99,,99
2014,50,69,63,73,0.41,68,59,20,64.8,4,98,7.45,98
2013,76,68,55,84,0.4,74,35,120,64,4,98,7.23,98
2012,74,85,89,92,0.41,62,37,3,63.2,4,98,8,98
2011,81,56,97,57,0.43,49,74,0,62.4,4,98,8.39,98
2010,71,55,91,63,0.51,51,40,0,61.7,4,98,8.42,98
2009,76,78,75,58,0.59,29,43,0,6.9,4,98,9.54,98
2008,74,64,74,89,0.61,50,49,2,6.1,4,98,8.78,97
2007,69,73,72,90,0.6,65,36,41,59.3,4,98,8.35,98
2006,57,80,74,66,0.59,40,73,1,58.6,4,98,8.8,98
2005,82,80,74,77,0.55,25,42,28,57.8,4,95,8.88,95
2004,55,83,50,79,0.54,25,74,21,57,4,95,9.5,95
2003,71,51,98,87,0.54,31,73,76,56.3,4,97,9.15,97
2002,59,57,82,54,0.54,66,18,19,55.5,4,95,9.68,95
2001,53,81,98,76,0.55,53,60,61,54.8,4,97,9.9,99
2000,66,56,71,75,0.49,31,42,32,54,4,94,9.65,91
2015,58,53,63,99,,50,75,526,53.1,5,98,,98
2014,74,68,72,97,6.29,56,48,321,52.3,5,95,4.36,95
2013,73,51,82,50,6.48,36,41,73,51.4,6,98,4.3,98
2012,82,56,75,60,6.82,22,45,55,5.6,7,98,4.32,99
2011,57,56,61,97,6.63,43,23,127,49.9,7,99,4.6,99
2010,79,77,90,87,6.83,70,33,4,49.2,8,98,4.42,99
2009,68,54,59,59,6.64,66,74,0,48.5,8,99,4.13,98
2008,62,76,91,61,7.6,47,52,20,47.9,9,99,3.65,99
2007,57,64,58,98,7.44,53,18,13,47.3,9,94,3.19,93
2006,62,85,76,95,7.08,43,53,109,46.8,9,99,3.73,99
2005,82,51,72,76,6.94,19,20,16118,46.3,9,99,4.7,98
2004,50,62,95,74,6.55,59,50,2204,45.8,9,99,3.95,82
2003,68,75,52,57,6.58,56,62,24,45.3,9,99,3.7,99
2002,51,73,53,67,5.99,62,54,18,44.8,9,95,3.61,95
2001,62,73,99,87,5.75,50,28,94,44.4,10,95,3.47,95
2000,50,71,81,100,6,71,24,245,43.9,10,96,4.16,97
2015,82,51,61,93,,25,54,95,22,75,83,,89
2014,60,77,61,57,0.01,64,69,354,21.3,79,93,5.72,92
2013,58,64,100,70,1.84,56,25,190,2.7,81,94,5.57,87
2012,61,82,52,74,1.81,60,61,0,2.1,84,94,5.49,94
2011,81,63,66,55,1.8,61,24,2395,19.5,86,97,5.23,96
2010,80,73,55,76,1.73,48,28,95,18.9,89,9,3.97,9
2009,84,54,57,53,1.86,53,59,1218,18.4,91,89,4.17,88
2008,74,53,62,92,1.71,19,21,1282,17.9,95,88,3.9,88
2007,56,59,98,85,1.97,51,72,1516,17.3,100,76,4.8,81
2006,67,70,55,75,1.76,49,62,1847,16.9,104,77,4.24,8
2005,51,53,63,68,1.82,63,36,153,16.4,108,7,4.36,76
2004,63,76,84,62,1.43,55,69,20,15.9,112,73,4.29,73
2003,52,73,93,80,1.49,25,39,65,15.5,115,75,4.45,73
2002,78,73,87,81,1.66,54,30,766,15.1,118,83,4.54,84
2001,76,58,87,51,1.63,74,60,11304,14.7,120,77,4.62,8
2000,58,50,91,92,1.51,43,57,21002,14.4,121,8,4.68,82
2015,52,53,81,50,,54,38,0,77.6,0,8,,78
2014,69,60,58,70,0.01,59,19,0,77.1,0,79,1.21,75
2013,81,78,57,93,0.01,68,69,0,76.7,0,91,1.15,95
2012,54,82,87,73,0.01,52,61,0,76.2,0,92,1.37,94
2011,74,62,90,70,0.53,21,67,0,75.7,0,95,1.42,99
2010,55,69,75,76,0.48,61,43,0,75.2,0,95,1.52,91
2009,62,76,98,78,0.54,50,23,0,74.6,0,84,12.24,86
2008,85,51,69,80,0.46,49,62,0,74.1,0,74,12.23,82
2007,70,51,80,50,0.68,66,75,0,73.4,0,93,13.66,94
2006,84,85,69,73,0.76,69,70,0,72.8,0,86,1.93,86
2005,82,58,85,90,0.6,35,44,0,72.1,0,74,1.6,79
2004,72,73,67,85,0.48,46,62,0,71.4,0,61,1.39,62
2003,71,59,92,68,0.5,27,74,0,7.6,0,79,9.98,7
2002,72,59,95,69,0.49,33,49,0,69.7,0,96,9.1,77
2001,72,65,65,90,0.6,58,21,0,68.8,0,88,9,85
2000,70,60,61,52,0.46,31,27,0,67.9,0,9,8.12,9
2015,66,52,83,75,,53,40,18,71.4,1,99,,99
2014,76,63,98,50,0.01,57,69,55,7.8,1,94,3.4,95
2013,71,81,64,75,0.01,75,32,62,7.2,1,99,2.56,99
2012,67,62,92,81,0.01,18,30,27,69.5,1,98,2.57,98
2011,58,78,72,65,0.02,32,35,32,69,1,99,2.62,99
2010,70,50,50,59,0.01,22,42,13,68.4,1,98,2.76,98
2009,80,66,60,75,0.1,68,64,0,67.9,1,99,3.87,99
2008,63,57,91,52,0.03,57,31,0,67.5,1,99,1.93,99
2007,60,76,84,56,0.03,66,50,0,67.1,1,99,2.13,99
2006,71,67,51,92,0.01,19,43,0,66.7,1,99,2.25,99
2005,85,71,70,73,0.01,29,22,10,66.3,1,99,2.38,99
2004,82,74,64,57,0.02,21,41,23,65.9,1,98,2.76,98
2003,50,73,88,70,0.03,68,45,0,65.5,1,99,3.23,99
2002,63,65,87,55,0.01,54,37,0,65,1,99,3.56,99
2001,64,54,56,61,0.01,66,70,0,64.5,1,99,3.61,99
2000,53,67,66,95,0.01,55,32,6,64,1,94,2.51,98
2015,52,78,87,63,,65,25,17779,44.9,3,97,,97
2014,56,64,58,98,0.01,19,47,318,43.9,4,95,6.48,96
2013,83,75,84,79,0.01,20,62,1,43,4,97,6.68,97
2012,62,56,87,78,0.01,65,38,0,42.2,4,94,6.97,96
2011,60,61,51,87,3.28,58,70,222,41.4,4,94,6.18,96
2010,51,51,79,79,2.73,63,26,0,4.7,4,88,6.66,96
2009,81,58,56,80,2.39,24,63,1,4.1,4,96,6.79,95
2008,68,69,83,68,2.53,31,67,16,39.5,4,95,6.7,95
2007,78,60,74,84,2.77,73,52,40,39,4,94,6.87,94
2006,69,75,50,84,2.48,32,50,27,38.5,4,93,6.73,92
2005,62,59,68,88,2.81,54,65,53,38,4,98,5.82,98
2004,56,75,56,98,3.41,47,45,8,37.5,4,98,5.57,99
2003,77,61,82,99,3.52,36,32,6,37,4,98,5.43,98
2002,67,62,74,98,3.31,55,74,2,36.5,5,99,5.43,98
2001,51,60,82,85,2.62,25,40,17,36,5,99,4.79,99
2000,65,84,51,51,2.13,75,43,16,35.6,5,99,4.68,99
2015,84,76,73,66,,58,71,56,21.7,11,89,,89
2014,67,73,71,93,0.01,60,42,339,2.9,11,88,1.87,88
2013,71,72,54,88,0.01,25,29,71,2.1,12,86,2,87
2012,75,57,75,76,0.01,37,60,32,19.4,12,78,2.12,79
2011,56,82,59,98,5.39,58,73,113,18.7,13,79,2.2,78
2010,54,63,99,64,5.95,49,27,153,18,13,76,2.75,74
2009,69,55,95,66,5.18,74,45,78,17.3,14,67,3.77,67
2008,50,77,80,81,5.1,67,65,174,16.7,14,6,2.77,61
2007,60,77,92,88,5,30,54,1678,16.1,15,46,4.14,5
2006,84,82,86,82,3.69,36,35,58,15.5,15,56,4.14,57
2005,68,68,50,98,3.68,68,71,295,14.9,16,5,4.32,49
2004,71,82,80,92,3.53,61,43,1491,14.4,16,46,4.54,45
2003,55,74,60,56,3.41,49,53,1810,13.8,17,52,4.91,49
2002,82,62,50,65,3.33,66,58,2070,13.3,18,55,4.4,53
2001,55,85,65,58,3.13,21,26,94,12.7,19,55,4.32,52
2000,75,61,87,55,5.16,44,51,332,12.3,20,57,3.41,51
2015,61,83,75,97,,63,33,0,61.2,0,95,,95
2014,53,77,96,83,0.01,58,65,36,6.7,0,92,5.88,92
2013,69,67,75,87,10.37,25,53,0,6.2,0,94,5.67,94
2012,71,51,59,65,10.21,54,33,3,59.8,0,91,5.91,91
2011,58,79,58,58,10.14,60,44,1,59.4,0,92,6.1,92
2010,69,52,52,77,9.8,18,20,0,58.9,0,92,6.55,92
2009,64,81,68,77,9.85,47,30,0,58.5,0,94,6.84,94
2008,52,76,52,52,11.84,66,33,3,58.1,0,94,6.63,94
2007,85,64,55,54,12.12,36,38,0,57.7,0,94,7.1,94
2006,61,71,81,63,10.4,75,44,7,57.4,0,96,6.8,96
2005,57,81,68,83,9.92,70,66,2,57,0,99,6.37,99
2004,80,82,87,53,8.81,63,27,0,56.6,0,99,6.51,99
2003,82,82,98,71,8.24,53,53,0,56.3,0,98,6.15,98
2002,53,77,62,76,7.44,66,51,0,56,0,98,6.29,97
2001,54,52,80,82,6.68,58,41,1,55.7,0,97,6.17,97
2000,51,52,70,84,7.13,63,75,0,55.4,0,96,6,96
2015,74,82,84,65,,68,32,39,66.1,1,75,,81
2014,77,70,83,77,1.32,35,33,112,65.4,1,75,6.39,81
2013,73,55,59,87,1.29,72,69,1761,64.9,1,75,6.63,81
2012,73,81,91,88,1.53,19,74,9,64.4,1,75,6.99,81
2011,67,71,100,83,1.57,26,59,9,64,1,75,7.12,81
2010,82,73,53,75,1.58,38,50,12,63.5,1,75,7.19,81
2009,79,81,80,57,1.62,26,29,22,63,1,75,7.42,81
2008,83,84,77,68,1.67,49,27,24,62.5,1,75,8.7,81
2007,62,79,64,56,1.72,63,58,373,61.9,1,75,8.9,8
2006,69,83,93,85,1.82,43,39,956,61.4,1,75,8.83,78
2005,78,64,53,78,1.94,32,43,618,6.8,1,74,8.42,77
2004,77,78,79,62,2.1,44,52,213,6.2,1,74,8.91,75
2003,52,60,66,53,2.19,62,48,526,59.7,1,74,9.3,74
2002,54,52,82,83,1.98,40,35,36,59.1,1,77,1.5,77
2001,68,67,92,83,2.19,35,57,8,58.6,1,8,1.9,8
2000,73,83,86,54,2.26,44,66,5,57.9,1,83,1.86,83
2015,83,74,56,57,,59,59,0,32.6,6,9,,93
2014,82,84,68,73,0.01,71,27,0,32,6,9,1.62,93
2013,83,70,77,99,0.01,35,62,516,31.4,6,9,11.7,93
2012,57,50,99,88,0.01,20,42,179,3.8,6,93,11.14,95
2011,76,60,62,79,2.39,58,71,172,3.2,6,95,11.79,96
2010,74,79,57,67,2.71,30,54,2488,29.7,6,92,1.87,93
2009,73,59,82,65,2.75,20,33,0,29.2,6,89,9.8,91
2008,60,69,79,55,2.75,58,36,0,28.8,6,86,8.85,88
2007,73,54,78,96,2.69,74,21,2,28.3,6,87,8.47,88
2006,59,74,85,98,2.61,69,34,1,27.9,6,88,7.12,89
2005,60,56,92,54,2.67,40,57,0,27.4,6,88,6.3,89
2004,70,77,69,61,1.8,39,32,31,26.9,7,89,6.96,9
2003,66,82,64,80,1.99,37,70,1,26.4,7,9,7.13,9
2002,53,61,88,60,2.95,59,20,0,25.9,7,84,6.91,84
2001,77,66,89,94,2.86,54,28,217,25.4,7,78,7.53,78
2000,64,55,57,79,3.1,57,65,660,24.9,7,82,6.92,83
2015,64,53,99,95,,42,44,1060,27.3,11,52,,52
2014,83,76,97,88,0.01,51,59,34,26.7,11,49,1.4,5
2013,52,60,70,69,0.01,39,54,0,26.1,11,75,9.25,76
2012,78,68,74,58,0.01,34,70,43,25.6,12,8,1.19,8
2011,52,70,82,57,3.72,53,29,279,25,12,77,11.23,77
2010,62,64,77,59,3.64,59,34,2200,24.5,13,71,11.87,7
2009,62,78,82,54,3.75,61,25,6,24,13,84,14.39,81
2008,64,65,80,64,3.88,53,64,1,23.4,14,79,11.83,75
2007,77,80,55,68,4.03,28,54,1,22.9,14,67,1.24,65
2006,70,71,88,85,4.05,38,19,20,22.4,15,66,1.9,6
2005,70,77,81,73,4.19,61,45,8,22,16,66,8.4,6
2004,51,64,69,69,4.24,23,67,4,21.5,17,47,8.77,31
2003,57,80,53,74,4.21,21,27,142,21.1,18,49,3.44,35
2002,82,51,71,64,4.27,48,68,131,2.7,19,51,5.43,39
2001,74,57,81,82,4.4,61,57,1379,2.4,20,54,6.41,42
2000,67,57,65,57,4.46,21,55,5977,2.2,20,56,5.91,46
2015,61,71,77,95,,55,25,82,64.8,2,97,,97
2014,60,80,63,88,0.01,54,54,372,63.8,2,94,4.97,94
2013,83,78,53,59,0.01,22,46,0,62.8,2,96,4.33,96
2012,85,62,68,61,0.01,62,73,320,61.8,2,98,4.3,98
2011,77,52,68,80,0.01,55,70,0,6.9,2,98,4.77,98
2010,52,83,59,93,0.01,42,39,0,59.9,2,98,3.5,98
2009,69,82,77,59,0.01,63,47,329,59,2,98,3.16,98
2008,52,69,95,73,0.01,38,33,8,58.2,2,98,2.4,98
2007,63,65,98,87,0.01,56,73,59,57.4,3,98,2.63,98
2006,63,60,62,84,0.01,71,60,1,56.7,3,98,2.51,98
2005,80,57,93,63,0.01,56,72,292,56,3,98,2.71,98
2004,61,59,52,65,0.01,53,61,2771,55.3,3,97,3.46,97
2003,69,58,93,58,0.01,29,55,0,54.6,3,95,4.6,95
2002,80,73,80,78,0.01,48,54,3890,54,3,93,4.57,93
2001,51,68,91,50,0.01,36,65,633,53.4,3,94,4.6,94
2000,78,53,87,56,0.01,37,41,0,52.8,3,94,3.41,94
2015,51,73,68,63,,72,45,50,62.4,0,93,,93
2014,64,82,98,76,15.19,56,21,11,61.9,0,93,6.55,93
2013,63,53,51,67,15.04,56,33,35,61.4,0,93,6.59,93
2012,61,83,70,95,15.14,71,70,0,6.9,0,93,6.67,93
2011,59,64,98,99,12.66,20,56,7,6.5,0,92,6.86,92
2010,50,61,80,70,12.9,34,23,2,6,0,95,7.9,95
2009,56,68,85,87,12.4,35,71,0,59.7,0,98,7.53,98
2008,84,71,60,53,13.3,68,41,1,59.3,0,96,6.61,96
2007,68,56,93,69,13.4,46,73,0,59,0,95,6.22,95
2006,66,74,68,81,12.7,21,48,1,58.7,0,94,6.2,94
2005,50,76,57,80,12.3,34,26,1,58.4,0,93,5.83,94
2004,70,85,84,100,12.1,30,72,1,58.1,0,9,5.67,94
2003,79,55,90,64,11.29,68,62,1,57.8,0,91,6.46,94
2002,81,74,62,77,11,34,41,103,57.5,0,97,6.4,95
2001,83,64,66,57,10.2,67,32,7,57.2,0,97,6.26,95
2000,56,55,88,66,9.87,69,48,19,56.9,0,92,6.46,94
2015,68,66,98,73,,68,55,0,61.3,0,99,,99
2014,83,58,87,55,11.12,42,33,0,6.9,0,99,6.94,99
2013,82,74,69,89,11.02,40,29,0,6.5,0,99,7.1,99
2012,84,70,58,93,11.34,35,41,2,6.1,0,99,7.18,99
2011,75,84,62,89,11.5,28,47,6,59.6,0,96,7.34,99
2010,56,70,50,67,11.36,42,55,0,59.2,0,96,7.68,99
2009,57,55,88,94,11.42,41,37,0,58.8,0,96,8.11,99
2008,84,71,79,92,11.53,50,57,1,58.4,0,96,7.34,99
2007,77,65,67,98,11.75,52,32,0,57.9,0,96,6.8,99
2006,73,81,65,60,11.98,50,62,8,57.5,0,99,7.75,99
2005,73,67,55,72,11.84,60,48,0,57,0,99,7.95,99
2004,85,60,64,59,12.42,20,61,0,56.4,0,99,8.2,99
2003,67,57,68,85,12.61,65,51,1,55.8,0,99,7.67,98
2002,71,55,92,58,12.91,39,66,0,55.2,0,99,8.27,99
2001,60,56,69,66,12.89,29,61,0,54.6,0,99,7.4,99
2000,58,76,81,66,13.14,33,32,0,54,0,99,7.48,99
2015,78,61,62,72,,20,27,3,2.5,38,71,,69
2014,85,81,65,78,0.01,74,26,3,2,39,73,3.4,73
2013,75,62,98,53,0.87,66,22,6,19.5,40,73,4.15,74
2012,77,77,99,76,0.87,74,45,2,19,42,71,3.46,7
2011,63,84,93,54,0.97,20,20,0,18.5,43,73,4.24,73
2010,85,65,100,53,1.03,73,69,1,18,45,7,4.86,7
2009,52,61,60,89,0.91,26,37,0,17.6,47,76,4.7,77
2008,82,75,52,89,0.68,38,19,3,17.1,49,77,4.5,77
2007,72,61,50,65,0.71,52,18,0,16.7,51,83,4.98,84
2006,80,72,65,82,0.68,57,26,2,16.3,54,83,5.11,85
2005,58,76,82,59,0.72,74,44,0,15.8,56,8,5.3,85
2004,67,85,94,86,0.81,67,73,35558,15.4,58,74,4.89,78
2003,53,82,84,83,0.93,75,30,62233,15,60,65,4.81,66
2002,85,66,96,58,0.9,67,73,10795,14.7,63,61,5.29,62
2001,51,58,78,83,1.05,68,60,9357,14.3,65,6,5.17,6
2000,55,72,89,87,1.16,59,55,35256,13.9,68,58,5.8,57
2015,68,81,80,97,,63,56,0,19.6,38,88,,88
2014,55,50,83,81,0.01,25,32,3,19.2,40,87,11.38,91
2013,52,64,86,51,0.01,57,43,1,18.8,42,89,1.96,89
2012,74,58,51,99,0.01,55,73,11,18.4,46,95,12.6,96
2011,64,82,80,54,1.23,67,72,26,18,50,97,11.67,97
2010,64,75,51,50,1.08,28,65,118712,17.6,54,86,1.5,93
2009,65,69,100,91,1.16,24,24,21,17.3,56,93,1.18,93
2008,76,54,89,61,1.27,63,72,20,16.9,58,92,1.7,91
2007,57,65,55,60,1.18,24,75,143,16.6,59,88,9.31,87
2006,58,66,65,56,1.18,73,73,1,16.2,61,99,8.99,99
2005,66,76,82,98,1.04,31,65,184,15.9,62,94,8.2,93
2004,60,66,64,97,1.11,68,41,1116,15.5,65,94,7.82,89
2003,64,81,52,71,1.08,39,37,167,15.2,70,85,6.35,84
2002,60,57,75,68,1.1,35,43,92,14.8,75,79,4.82,64
2001,52,72,99,51,1.15,65,40,150,14.4,80,86,5.7,9
2000,59,51,81,59,1.18,48,36,304,14.1,84,73,6.7,75
2015,80,81,53,83,,35,44,1318,4.6,4,99,,99
2014,76,54,88,94,0.52,32,40,221,39.5,4,97,4.17,97
2013,79,80,77,64,0.53,68,38,195,38.5,4,97,4.2,97
2012,58,66,98,67,0.53,69,18,1868,37.4,4,97,4.1,97
2011,85,73,94,93,0.51,64,56,1569,36.3,4,96,3.89,96
2010,83,73,93,51,0.49,32,50,73,35.3,4,96,3.99,96
2009,58,84,74,94,0.47,69,47,153,34.4,4,97,3.97,97
2008,84,67,68,79,0.47,34,52,334,33.4,4,97,3.47,97
2007,74,70,56,55,0.43,65,19,394,32.5,4,97,3.61,97
2006,52,55,91,69,0.42,40,57,564,31.6,4,95,3.65,95
2005,64,60,84,60,0.46,58,44,1407,3.7,4,96,3.29,96
2004,78,71,55,67,0.49,39,38,5729,29.8,4,95,3.74,95
2003,77,83,55,67,0.48,53,19,632,28.8,4,96,3.95,96
2002,61,73,60,57,0.49,28,73,408,27.9,4,94,3.4,94
2001,84,77,52,68,0.53,51,25,2198,27,5,95,3.4,96
2000,52,55,82,84,0.54,73,60,6187,26,5,98,3.4,98
2015,61,81,54,55,,56,18,0,27.4,0,99,,99
2014,52,69,100,59,0.01,40,60,0,26.2,0,99,13.73,99
2013,84,65,63,74,0.01,71,56,0,25.1,0,99,11.16,99
